08:20:59,232 core.log_config INFO username: unknown, role: unknown, host: 0.0.0.0, api: /
08:20:59,776 core.log_config INFO username: unknown, role: unknown, host: 0.0.0.0, api: /favicon.ico
08:21:23,693 core.log_config INFO username: unknown, role: unknown, host: 0.0.0.0, api: /docs
08:21:24,831 core.log_config INFO username: unknown, role: unknown, host: 0.0.0.0, api: /openapi.json
08:22:21,896 core.log_config INFO username: unknown, role: unknown, host: 0.0.0.0, api: /search
08:22:30,693 core.log_config INFO username: unknown, role: unknown, host: 0.0.0.0, api: /search
08:22:56,112 core.log_config INFO username: unknown, role: unknown, host: 0.0.0.0, api: /search
08:23:27,774 core.log_config INFO username: unknown, role: unknown, host: 0.0.0.0, api: /search
08:23:52,891 core.log_config INFO username: unknown, role: unknown, host: 0.0.0.0, api: /user/register
15:38:14,695 core.log_config INFO username: unknown, role: unknown, host: 0.0.0.0, api: /user/login
16:43:10,225 core.log_config INFO username: unknown, role: unknown, host: 0.0.0.0, api: /
16:43:10,723 core.log_config INFO username: unknown, role: unknown, host: 0.0.0.0, api: /favicon.ico
16:43:12,640 core.log_config INFO username: unknown, role: unknown, host: 0.0.0.0, api: /docs
16:43:13,222 core.log_config INFO username: unknown, role: unknown, host: 0.0.0.0, api: /dóc
16:43:18,618 core.log_config INFO username: unknown, role: unknown, host: 0.0.0.0, api: /ddocs
16:43:22,695 core.log_config INFO username: unknown, role: unknown, host: 0.0.0.0, api: /openapi.json
16:55:51,986 core.log_config INFO username: unknown, role: unknown, host: 0.0.0.0, api: /user/register
17:03:20,296 core.log_config INFO username: unknown, role: unknown, host: 0.0.0.0, api: /user/register
17:03:45,74 core.log_config INFO username: unknown, role: unknown, host: 0.0.0.0, api: /user/register
17:04:27,125 core.log_config INFO username: unknown, role: unknown, host: 0.0.0.0, api: /user/register
17:05:43,610 core.log_config INFO username: unknown, role: unknown, host: 0.0.0.0, api: /user/register
17:06:30,826 core.log_config INFO username: unknown, role: unknown, host: 0.0.0.0, api: /user/login
17:11:18,635 core.log_config INFO username: unknown, role: unknown, host: 0.0.0.0, api: /user/register
17:17:19,900 core.log_config INFO username: unknown, role: unknown, host: 0.0.0.0, api: /user/register
17:17:31,793 core.log_config INFO username: unknown, role: unknown, host: 0.0.0.0, api: /user/register
17:17:43,60 core.log_config INFO username: unknown, role: unknown, host: 0.0.0.0, api: /user/register
17:17:50,485 core.log_config INFO username: unknown, role: unknown, host: 0.0.0.0, api: /user/register
17:17:57,409 core.log_config INFO username: unknown, role: unknown, host: 0.0.0.0, api: /user/register
17:21:34,971 core.log_config INFO username: unknown, role: unknown, host: 0.0.0.0, api: /user/register'
17:21:49,787 core.log_config INFO username: unknown, role: unknown, host: 0.0.0.0, api: /user/register
17:22:19,139 core.log_config INFO username: unknown, role: unknown, host: 0.0.0.0, api: /user/register
17:23:06,171 core.log_config INFO username: unknown, role: unknown, host: 0.0.0.0, api: /user/register
17:24:50,154 core.log_config INFO username: unknown, role: unknown, host: 0.0.0.0, api: /user/register
17:25:47,787 core.log_config INFO username: unknown, role: unknown, host: 0.0.0.0, api: /user/register
17:26:43,92 core.log_config INFO username: unknown, role: unknown, host: 0.0.0.0, api: /user/register
17:27:30,542 core.log_config INFO username: unknown, role: unknown, host: 0.0.0.0, api: /user/register
17:28:16,85 core.log_config INFO username: unknown, role: unknown, host: 0.0.0.0, api: /user/register
17:28:45,236 core.log_config INFO username: unknown, role: unknown, host: 0.0.0.0, api: /user/register
17:30:00,920 core.log_config INFO username: unknown, role: unknown, host: 0.0.0.0, api: /user/register
17:32:23,173 core.log_config INFO username: unknown, role: unknown, host: 0.0.0.0, api: /user/register
17:33:00,413 core.log_config INFO username: unknown, role: unknown, host: 0.0.0.0, api: /user/register
17:33:16,718 core.log_config INFO username: unknown, role: unknown, host: 0.0.0.0, api: /user/login
17:34:11,492 core.log_config INFO username: unknown, role: unknown, host: 0.0.0.0, api: /user/register
17:34:30,374 core.log_config INFO username: unknown, role: unknown, host: 0.0.0.0, api: /user/register
17:34:46,625 core.log_config INFO username: unknown, role: unknown, host: 0.0.0.0, api: /user/login
17:55:05,548 core.log_config INFO username: unknown, role: unknown, host: 0.0.0.0, api: /user/login
17:55:09,741 core.log_config INFO username: now, role: STUDENT, host: 0.0.0.0, api: /user/me
18:00:10,323 core.log_config INFO username: hoangtc, role: STUDENT, host: 0.0.0.0, api: /user/me
18:00:10,325 core.log_config INFO username: hoangtc, role: STUDENT, host: 0.0.0.0, api: /user/me
18:00:43,260 core.log_config INFO username: hoangtc, role: STUDENT, host: 0.0.0.0, api: /user/me
18:00:47,549 core.log_config INFO username: hoangtc, role: STUDENT, host: 0.0.0.0, api: /user/me
18:00:51,378 core.log_config INFO username: hoangtc, role: STUDENT, host: 0.0.0.0, api: /user/me
18:00:59,788 core.log_config INFO username: hoangtc, role: STUDENT, host: 0.0.0.0, api: /user/me
18:01:04,14 core.log_config INFO username: hoangtc, role: STUDENT, host: 0.0.0.0, api: /user/me
18:01:11,33 core.log_config INFO username: hoangtc, role: STUDENT, host: 0.0.0.0, api: /user/me
18:01:11,276 core.log_config INFO username: hoangtc, role: STUDENT, host: 0.0.0.0, api: /user/me
18:01:13,763 core.log_config INFO username: hoangtc, role: STUDENT, host: 0.0.0.0, api: /user/me
18:01:20,376 core.log_config INFO username: hoangtc, role: STUDENT, host: 0.0.0.0, api: /user/me
18:01:22,594 core.log_config INFO username: hoangtc, role: STUDENT, host: 0.0.0.0, api: /user/me
18:01:29,685 core.log_config INFO username: hoangtc, role: STUDENT, host: 0.0.0.0, api: /user/me
18:01:29,741 core.log_config INFO username: hoangtc, role: STUDENT, host: 0.0.0.0, api: /user/me
18:01:31,341 core.log_config INFO username: hoangtc, role: STUDENT, host: 0.0.0.0, api: /user/me
18:01:32,889 core.log_config INFO username: hoangtc, role: STUDENT, host: 0.0.0.0, api: /user/me
18:01:36,128 core.log_config INFO username: hoangtc, role: STUDENT, host: 0.0.0.0, api: /user/me
18:01:45,630 core.log_config INFO username: hoangtc, role: STUDENT, host: 0.0.0.0, api: /user/me
18:02:07,873 core.log_config INFO username: hoangtc, role: STUDENT, host: 0.0.0.0, api: /user/me
18:02:07,888 core.log_config INFO username: hoangtc, role: STUDENT, host: 0.0.0.0, api: /user/me
